segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
2,507,complex,poisson,0.06843678484375569,0.5480802946231984,0.3834829205330459,0.07526870849132501,0.8967778791691184,16,0.026442799693376075,0.11464263394390231,0.08480658549338799,4,False,4226,8189,valve_0001_lidar_classes.ply
3,78,tube,ball_pivoting,0.8177255644099986,0.15790573826007406,0.02436869732992751,0.06205239750479796,0.9380842421545399,1,0.008591333858626312,0.01788160765119798,0.017433662989560943,1,False,78,93,valve_0001_lidar_classes.ply
5,1619,complex,poisson,0.3029450392815441,0.6352633893285122,0.06179157138994378,0.1009187596488993,0.8121968707109228,1,0.01860414324131217,0.21370248979898634,0.09366320108591755,4,False,6867,13537,valve_0001_lidar_classes.ply
6,406,complex,poisson,0.04560353220952713,0.44315274897082435,0.5112437188196485,0.08460704882467401,0.8524025330794158,17,0.02519070419973537,0.13721618686960246,0.08371103496327413,4,False,4396,8426,valve_0001_lidar_classes.ply
7,96,tube,ball_pivoting,0.9769655555532478,0.0068473263180054535,0.01618711812874669,0.08423977934472715,0.8713160423845405,2,0.00973826975254137,0.017495200840710514,0.016905579757142207,2,False,96,120,valve_0001_lidar_classes.ply
8,1412,complex,poisson,0.38671136862677097,0.579617361427342,0.03367126994588705,0.06257159220263896,0.9281056934250324,2,0.015440122362279212,0.21287620344461036,0.07493402514414212,4,False,5586,11027,valve_0001_lidar_classes.ply
9,2160,complex,poisson,0.27309976675224756,0.6759783338591907,0.050921899388561724,0.059573205352974716,0.934394846869766,3,0.012698630024440577,0.0861258731730084,0.033363099807447484,3,False,6282,12484,valve_0001_lidar_classes.ply
10,3560,complex,poisson,0.2530394088265599,0.27571113349273557,0.47124945768070453,0.04402034282719331,0.965957632522216,5,0.010771537203684496,0.05252855917629358,0.02498065272818146,2,False,8254,16347,valve_0001_lidar_classes.ply
11,739,plane,alpha_shape,0.2740026323022586,0.6995784037623274,0.026418963935414035,0.03460604594273358,0.9718704751834463,2,0.011730348411667564,0.019916868170128683,0.020033156522353428,1,False,637,1404,valve_0001_lidar_classes.ply
12,1251,plane,alpha_shape,0.1359234826943493,0.7839920812677387,0.08008443603791199,0.043824457983148685,0.9635686126798749,1,0.011752211276332481,0.020622605462015775,0.020847805862745917,1,False,1062,2370,valve_0001_lidar_classes.ply
13,738,complex,poisson,0.07926009496440951,0.4909804841205646,0.42975942091502595,0.08298186872759458,0.8940608814149261,1,0.012495860822627908,0.03309507280652664,0.023237505047454983,1,False,2980,5744,valve_0001_lidar_classes.ply
2,641,complex,poisson,0.10983206996972081,0.4339858888683004,0.4561820411619788,0.07759458916656743,0.8766613237545735,18,0.028228412602805335,0.1561540900863017,0.09697118404919827,6,False,5601,10880,valve_0002_lidar_classes.ply
5,1662,complex,poisson,0.3516924931957091,0.5725703914134249,0.07573711539086592,0.09295900462754991,0.8223400344647199,1,0.018475964196201934,0.1907894466865046,0.08086225679602671,5,False,7035,13905,valve_0002_lidar_classes.ply
6,511,complex,poisson,0.37848317371610735,0.21883242542375134,0.40268440086014134,0.05965003729066468,0.9222575366604574,15,0.024867116158346834,0.12102824619112801,0.07994009792276786,6,False,5050,9805,valve_0002_lidar_classes.ply
7,77,tube,ball_pivoting,0.9690458232204185,0.012998102680432829,0.01795607409914863,0.09061221149520887,0.8303209856434264,2,0.01449816815921335,0.02758631552279977,0.021827226011880075,3,False,77,63,valve_0002_lidar_classes.ply
8,1836,complex,poisson,0.30907364992848996,0.6488690046632285,0.042057345408281516,0.05296262081317277,0.9450154091568038,1,0.013704801218371893,0.14010297027240698,0.050341722078215176,1,False,5768,11469,valve_0002_lidar_classes.ply
9,1600,complex,poisson,0.28478742264062873,0.6639479008817317,0.051264676477639604,0.06417322202146183,0.9265739253355184,1,0.013867314583358175,0.09635870433075072,0.039594693936626194,3,False,5653,11166,valve_0002_lidar_classes.ply
10,3453,complex,poisson,0.21075392943393645,0.30220004239552994,0.4870460281705336,0.04186354398316818,0.9711564389776016,3,0.01074942657429506,0.044772796837133186,0.02290439687478575,1,False,8050,15919,valve_0002_lidar_classes.ply
11,534,plane,alpha_shape,0.4546491195471185,0.5250457548839039,0.020305125568977577,0.03623444920896395,0.9730101591376227,6,0.012562734314002613,0.02558565741487464,0.022515330069182958,2,False,480,1056,valve_0002_lidar_classes.ply
12,1217,plane,alpha_shape,0.1605291981538062,0.7747005142875241,0.06477028755866969,0.046414105788189636,0.9593199250965034,1,0.012286271300778194,0.022386585739910588,0.02227927094188742,1,False,1007,2198,valve_0002_lidar_classes.ply
13,741,complex,poisson,0.15165312919613871,0.43791473415439386,0.4104321366494674,0.07592302651083402,0.910770594172804,1,0.013031841488768691,0.032922257449721666,0.02398010673140593,3,False,3040,5866,valve_0002_lidar_classes.ply
2,324,tube,ball_pivoting,0.5308435086415706,0.27341338733729925,0.1957431040211302,0.0706829013538108,0.9137571568637674,13,0.03163198915995513,0.030920761466347,0.02855857320534779,8,False,324,374,valve_0004_lidar_classes.ply
3,79,tube,ball_pivoting,0.8109817738554856,0.16569257139713384,0.023325654747380468,0.05725194627958747,0.924422213277669,1,0.009280985523525026,0.021966269182049483,0.018284521998672754,1,False,79,115,valve_0004_lidar_classes.ply
5,1440,complex,poisson,0.24390208664650234,0.6779965021587105,0.07810141119478714,0.0970255537874082,0.8316244030142828,1,0.01946044994388764,0.1711003356863768,0.08156622923232523,2,False,6035,11882,valve_0004_lidar_classes.ply
6,435,tube,ball_pivoting,0.6663063563169959,0.13214845303702788,0.20154519064597634,0.0758275146114355,0.8990084464027509,12,0.012350544519399277,0.0211459222365087,0.020437296145352786,12,False,435,550,valve_0004_lidar_classes.ply
7,67,tube,ball_pivoting,0.9506560471422815,0.021349527133883127,0.027994425723835398,0.05270016981793825,0.8809409251638864,3,0.014895163283156192,0.023818422317333846,0.02146071312852764,2,False,67,73,valve_0004_lidar_classes.ply
8,1461,complex,poisson,0.3944916643082507,0.5413174689571437,0.0641908667346055,0.05656717705415403,0.9391116952409054,1,0.015392204111899807,0.16855289315869249,0.061744968171027245,5,False,4789,9422,valve_0004_lidar_classes.ply
9,1807,tube,ball_pivoting,0.5314145876623579,0.42614299246097137,0.042442419876670696,0.0681802797648307,0.9243999722825414,1,0.011377388893240133,0.019363116369310752,0.019460651317999636,7,False,1807,2216,valve_0004_lidar_classes.ply
10,3114,complex,poisson,0.42391430677030834,0.17140144664641851,0.4046842465832732,0.05273050318102729,0.9573532359292646,2,0.01157161886298031,0.052154701854939686,0.026143097850777713,2,False,7732,15251,valve_0004_lidar_classes.ply
11,715,plane,alpha_shape,0.1686722408279836,0.8036786584727208,0.027649100699295593,0.038479903631726306,0.9766962845497742,2,0.012464115810936021,0.02104620216397195,0.02076244238969848,1,False,622,1372,valve_0004_lidar_classes.ply
12,1335,plane,alpha_shape,0.17057700315135105,0.7519778903224261,0.07744510652622284,0.048798576015366746,0.9551422923587292,1,0.01240144509842863,0.023985579072632456,0.022847537594906653,1,False,1087,2414,valve_0004_lidar_classes.ply
13,721,complex,poisson,0.07504535353486085,0.5779171865292461,0.34703745993589313,0.08632463499836518,0.872401592375927,1,0.014226870267561984,0.04174584557301615,0.026131965997627578,1,False,2719,5263,valve_0004_lidar_classes.ply
2,421,complex,poisson,0.48351496701534213,0.19288650301275626,0.32359852997190164,0.0754601769426475,0.8899275788561278,16,0.03489828255057326,0.18011528612619848,0.113728957859349,12,False,4737,9100,valve_0005_lidar_classes.ply
3,71,tube,ball_pivoting,0.8646957472050519,0.10854805779242269,0.026756195002525462,0.09549528693304483,0.906676850235812,2,0.009610572893977654,0.047336307045854766,0.02351847719927507,1,False,71,91,valve_0005_lidar_classes.ply
5,1573,complex,poisson,0.3307649681480303,0.5941361629823879,0.07509886886958181,0.1030413289682855,0.8124659368144704,1,0.020343368317288328,0.2341581112356597,0.10117137200475505,2,False,7143,14065,valve_0005_lidar_classes.ply
